,0 pi,2/3 pi,4/3 pi
253,1050115.0205063699,1048252.5225914962,1047362.3385943428
254,1049979.2506180939,1048506.2205780012,1047244.3156860727
255,1049983.1324538994,1048410.8677059897,1047335.6905411276
256,1048910.0918896836,1047071.2045763731,1049748.492037194
257,1048980.453822872,1047012.3026915984,1049737.1303085038
258,1048890.6645967378,1047003.4213285382,1049835.8974110114
259,1048582.0764248937,1047098.155489624,1050049.8453216162
260,1048551.5438987304,1047081.8216305301,1050096.8021747442
261,1048573.0595462294,1047041.2621458021,1050115.9322306737
262,1048595.3963192424,1047002.7815044052,1050132.1572556586
263,1048383.0351915339,1047092.7631185295,1050254.6120844414
264,1048351.2463156851,1047089.1809622245,1050290.0518541606
265,1047849.9312603943,1047434.4148790333,1050446.194457324
266,1048015.7299865178,1047281.357010827,1050433.5071558442
267,1048187.7529214072,1047142.3667150915,1050400.5196141093
268,1047856.2326015006,1047382.920859521,1050491.5219410781
269,1046788.4886457893,1050130.4096220755,1048811.8039622023
270,1050472.7211277157,1048023.914384198,1047234.083931328
271,1050529.4496225854,1047600.6391340108,1047600.6380951601
272,1049361.9669148165,1049731.7903442676,1046636.967122047
273,1047604.7174159966,1047601.8570139782,1050524.137620536
274,1048240.5227952765,1047091.0552436598,1050399.11196193
275,1048159.2209456895,1047155.7571116651,1050415.6804129465
276,1047914.1762564351,1047354.007799218,1050462.433735313
277,1046910.170948673,1048629.3117197158,1050191.085733087
278,1046982.2989255593,1050226.0829382413,1048522.1289493436
279,1046798.4952121788,1049027.0976427263,1049904.8527761512
280,1046986.4448174575,1048602.6087878163,1050141.3199080643
281,1047154.738741947,1048344.3530395685,1050231.2033980477
282,1047648.0789602753,1047748.0029098955,1050334.129526255
283,1047618.2290855589,1047816.1618828967,1050295.73198481
284,1046962.8680752653,1049803.1300934006,1048964.032495166
285,1048320.5366403634,1050111.8845496245,1047297.5141621786
286,1048260.3640976493,1050095.657189489,1047373.8165519474
287,1048196.7253224185,1050076.151169757,1047456.8624236116
288,1047031.7876302353,1049712.359691016,1048985.6855198096
289,1046984.7244348144,1049728.7894628632,1049016.419700716
290,1046965.5291112959,1049811.6549564132,1048952.8484378143
291,1046985.7954243518,1049949.995344253,1048794.3379677744
292,1046989.8169186988,1050033.988467299,1048706.4160618724
293,1047003.5878618103,1050115.5760330954,1048611.1459079843
294,1047002.6697283405,1050170.5836042073,1048557.139636021
295,1047070.7234955156,1050272.6854175315,1048387.0612438995
296,1047118.1218189392,1050339.6984834652,1048272.7202943475
297,1047513.2499340731,1050480.3891915786,1047736.9644597222
298,1047359.9658362161,1050480.3122834058,1047890.380350679
299,1046840.4416733669,1050203.149992714,1048687.1130131544
300,1047029.0194247938,1050389.0966141592,1048312.6256944794
301,1049574.8729474682,1049546.5581567152,1046609.3381212661
302,1050547.891929211,1047684.8164267412,1047498.0785083742
303,1050552.6457642762,1047640.2119081605,1047537.9367842674
304,1050464.7184050528,1048137.7488261103,1047128.3246897417
305,1048157.7594129823,1050454.5983662638,1047118.4215088043
306,1047463.2663059513,1050533.9018122598,1047733.5885776563
307,1047370.2803581561,1050508.6638581275,1047851.7801648478
308,1047444.9137159487,1050503.756743767,1047782.0122339651
309,1047687.8809309567,1050493.514904297,1047549.2362392932
310,1048310.9040235372,1050336.182506364,1047083.4865370783
311,1048204.0821544244,1050351.8593872604,1047174.5647230924
312,1047993.9796673782,1050383.3981602082,1047353.0545327861
313,1047928.6773887895,1050367.5716951077,1047434.1030024607
314,1047713.7511015721,1050356.4859248782,1047660.0291917829
315,1047600.3897455797,1050316.4295781935,1047813.3562621532
316,1047342.410902106,1050213.3956765912,1048174.2744286188
317,1047748.5404595578,1050241.8573100232,1047739.5855667066
318,1047959.2764696227,1050184.937827055,1047585.6691065949
319,1047981.285456102,1050140.2627750132,1047608.2337922156
320,1047809.9105303928,1050193.4723177855,1047726.4886318914
321,1047725.507763912,1050237.9209783054,1047766.5456179999
322,1047801.0936631459,1050277.8843121026,1047651.0973790722
323,1047877.2435069329,1050309.3023322297,1047543.6277698368
324,1048029.193762931,1050318.0501492906,1047383.0243663442
325,1048147.5765200007,1050319.4266507144,1047263.3553218314
326,1048174.8682482075,1050340.1373078362,1047215.4378598224
327,1048155.6123229886,1050372.2803414324,1047202.6295624381
328,1048254.8324168422,1050363.4232921049,1047112.3384442418
329,1048469.6787720501,1050297.5195688547,1046963.4601293952
330,1048162.5962819912,1050432.583052802,1047135.5351750379
331,1046742.9402540362,1050104.8407914208,1048882.9806507742
332,1047709.6062852767,1050550.5089122362,1047470.6843342439
333,1050496.2118156531,1048067.0414346816,1047167.5743522324
334,1050568.5916332754,1047675.2541778671,1047486.9998019483
335,1050573.6733436263,1047620.9854829905,1047536.194540328
336,1050568.1767638868,1047705.9055422192,1047456.7684691998
337,1049554.7046707154,1049590.9701902664,1046585.163014641
338,1048352.230758364,1050396.2395306951,1046982.3445187247
339,1048298.3262989447,1050407.0050245211,1047025.4504888639
340,1048338.0899934155,1050378.4449550947,1047014.2042960973
341,1048323.6669028241,1050367.8484777445,1047039.1721834659
342,1048222.905369578,1050385.1052755204,1047122.6166601934
343,1048162.2178964851,1050382.4412001627,1047185.9000031488
344,1048223.0289270334,1050338.1511139693,1047169.3035929226
345,1048283.022557477,1050290.0875154498,1047157.2915953386
346,1048207.7854873004,1050285.8255900694,1047236.7029181652
347,1048032.4223792244,1050300.5004687917,1047397.298599854
348,1047827.4538957037,1050295.6041126896,1047607.0668683363
349,1048011.6421197151,1050231.8059849865,1047486.5770390639
350,1047998.8961535908,1050194.4912164477,1047536.5357368172
351,1048012.117234899,1050150.7472344493,1047566.9551236447
352,1047823.5685546433,1050206.630466132,1047699.7049902516
353,1047766.7887729938,1050252.171346624,1047711.0485630318
354,1047821.4699743291,1050290.8131598884,1047617.8282965511
355,1047828.903353782,1050328.832420169,1047572.4756224747
356,1048018.3904454715,1050334.460258367,1047377.4570041541
357,1048172.1246982863,1050326.1426616006,1047232.1321292918
358,1048187.4798798483,1050350.4106418574,1047192.5953674084
359,1048080.9294601358,1050407.936390826,1047241.7002193514
360,1048041.3422234346,1050442.2575123964,1047247.0395147769
361,1048084.1008561723,1050452.388260844,1047194.2155622189
362,1047832.8773933505,1050523.9495185,1047373.9347843815
363,1046595.0964157096,1049588.4438166884,1049547.2694748878
364,1049199.9155359433,1049907.2578165382,1046623.6748382091
365,1050580.805408627,1047645.3280771113,1047504.7432648205
366,1050587.4629015492,1047635.9869733243,1047507.4452009527
367,1050590.9614183211,1047612.9563502447,1047526.9851930911
368,1050590.410024116,1047597.6500801402,1047542.840225632
369,1050035.5025392626,1049044.3339077944,1046651.0507595502
370,1048304.9165322692,1050429.7551095143,1046996.1920917683
371,1048233.5486323606,1050445.4626059472,1047051.8189278627
372,1048418.8343897833,1050359.940329873,1046952.0121446697
373,1048441.1832664482,1050333.9426623974,1046955.6083529582
374,1048361.3351346438,1050348.391213504,1047020.9466294058
375,1048327.384531227,1050339.7107717444,1047063.5082824029
376,1048429.6378916012,1050273.187965074,1047027.7009495258
377,1048315.7081374977,1050291.9732200066,1047122.7620583618
378,1048077.3648974415,1050336.9616625882,1047316.0276572134
379,1047948.0656035187,1050331.0320626777,1047451.1623974885
380,1047913.3399539678,1050300.0893788459,1047516.7324793228
381,1048015.5087704728,1050244.4468010804,1047470.1047788516
382,1047810.906120978,1050229.0910290137,1047689.9593821501
383,1047864.6974806534,1050181.9874980168,1047683.1662453178
384,1047600.2224726555,1050208.8822716242,1047920.8253489505
385,1047501.3332458726,1050240.3313559217,1047988.3715945598
386,1047618.2571159023,1050303.0752732567,1047808.8079623885
387,1047669.652588339,1050346.9050481943,1047713.6840500215
388,1047647.3814456344,1050385.0245021358,1047697.9333682426
389,1047739.9081099369,1050418.3609069223,1047572.1633435142
390,1047899.9441509614,1050431.4383122537,1047399.1374810301
391,1047904.8154179432,1050458.4796507978,1047367.3061527921
392,1048076.4924120648,1050444.9798629212,1047209.2031271138
393,1048180.8441782803,1050435.4494402546,1047114.4481148972
394,1047666.336425099,1050553.2943321732,1047511.168774484
395,1047444.966575508,1050566.1433830354,1047719.7382321473
396,1050452.9211350575,1048261.9113462162,1047016.0547253338
397,1050593.8750129004,1047651.5530549652,1047485.4880941975
398,1050601.9643842282,1047607.7053700967,1047521.2649825293
399,1050605.3385419874,1047562.802633582,1047562.8015543927
400,1050604.3068218604,1047581.712474617,1047544.9207659279
401,1050413.292404118,1048393.5867153096,1046924.0476411155
402,1048688.7289422464,1050263.0996339913,1046779.0743854197
403,1048214.0723221278,1050464.1337681713,1047052.6628453402
404,1048216.8445041984,1050449.6263162254,1047064.3542197007
405,1048271.5049517475,1050413.798703023,1047045.4680788512
406,1048278.3484471856,1050391.8222674194,1047060.538877699
407,1048278.8493518109,1050369.3176753686,1047082.472223428
408,1048293.0487195262,1050339.07635065,1047098.4363520734
409,1048185.071222686,1050348.170682514,1047197.2349802012
410,1048012.3998812104,1050363.4818368084,1047354.5047495136
411,1047964.3490840548,1050339.3430320092,1047426.5989036716
412,1047829.9321209419,1050321.1141818964,1047579.1451257414
413,1047863.8654576784,1050278.0776679686,1047588.1454493125
414,1047596.6834596335,1050232.5880504183,1047900.7118262362
415,1047571.3289434436,1050179.170919026,1047979.3767201966
416,1047497.8755874562,1050198.3172823817,1048033.7565798322
417,1047500.6183263948,1050249.6528171627,1047979.7854693409
418,1047506.913316877,1050298.4092319238,1047924.8392633355
419,1047694.9376016414,1050355.925964112,1047679.4005982972
420,1047960.2627945516,1050365.7505660914,1047404.349416411
421,1047785.6075722313,1050423.8296722288,1047521.0195047507
422,1047744.5949735115,1050459.0450583985,1047526.9051774015
423,1047817.0583608124,1050480.5749447271,1047432.9939997522
424,1048044.3717206713,1050462.0547582165,1047224.2757511795
425,1048250.4731811687,1050420.5694558728,1047059.7265884085
426,1047256.386709686,1050524.4870951811,1047949.9537977002
427,1049636.7603515105,1049521.5436296426,1046572.5727694056
428,1050594.1946761413,1047645.3491937582,1047491.3722921639
429,1050603.795383009,1047650.1454452879,1047477.0045704317
430,1050612.718485892,1047559.1233794478,1047559.1222963363
431,1050615.492121511,1047557.7405998043,1047557.7395152181
432,1050613.9490548952,1047601.9859847893,1047515.0345040092
433,1050545.016776781,1048034.3750728844,1047151.5642540937
434,1048689.2976262728,1050271.5426201925,1046770.0918264581
435,1047815.4269517795,1050571.2743317774,1047344.1964216535
436,1047876.8297000062,1050546.9947325513,1047307.0289343877
437,1048129.914230035,1050469.4700192946,1047131.4152824265
438,1048144.9201080514,1050445.101026286,1047140.7156283063
